CMDLINE python dummy_atom_scheme_mem_debug.py
MEM 0.855469 1448922217.0057
MEM 7.984375 1448922217.1062
MEM 13.824219 1448922217.2065
MEM 16.347656 1448922217.3069
MEM 18.066406 1448922217.4072
MEM 18.347656 1448922217.5075
MEM 20.320312 1448922217.6077
MEM 20.800781 1448922217.7080
MEM 21.292969 1448922217.8084
MEM 21.812500 1448922217.9088
MEM 22.171875 1448922218.0091
MEM 22.453125 1448922218.1094
MEM 22.914062 1448922218.2097
MEM 23.179688 1448922218.3099
MEM 23.359375 1448922218.4104
MEM 23.734375 1448922218.5108
MEM 24.593750 1448922218.6111
MEM 25.417969 1448922218.7115
MEM 25.628906 1448922218.8117
MEM 27.269531 1448922218.9120
MEM 27.425781 1448922219.0123
MEM 28.117188 1448922219.1127
MEM 29.246094 1448922219.2131
MEM 29.906250 1448922219.3135
MEM 30.371094 1448922219.4138
MEM 31.285156 1448922219.5141
MEM 34.261719 1448922219.6144
MEM 35.140625 1448922219.7147
MEM 35.800781 1448922219.8151
MEM 35.894531 1448922219.9155
MEM 36.492188 1448922220.0158
MEM 36.875000 1448922220.1162
MEM 37.683594 1448922220.2165
MEM 37.765625 1448922220.3168
MEM 38.566406 1448922220.4171
MEM 39.179688 1448922220.5175
MEM 39.375000 1448922220.6179
MEM 40.285156 1448922220.7182
MEM 40.433594 1448922220.8185
MEM 40.636719 1448922220.9188
MEM 43.195312 1448922221.0190
MEM 43.230469 1448922221.1195
MEM 43.222656 1448922221.2200
MEM 46.957031 1448922221.3203
MEM 47.914062 1448922221.4206
MEM 47.992188 1448922221.5209
MEM 48.687500 1448922221.6212
MEM 53.839844 1448922221.7216
MEM 59.023438 1448922221.8222
MEM 61.523438 1448922221.9226
MEM 60.722656 1448922222.0230
MEM 61.234375 1448922222.1237
MEM 63.816406 1448922222.2240
MEM 64.527344 1448922222.3242
MEM 64.675781 1448922222.4248
MEM 73.410156 1448922222.5253
MEM 71.660156 1448922222.6259
MEM 71.664062 1448922222.7262
MEM 72.515625 1448922222.8264
MEM 77.390625 1448922222.9267
MEM 83.316406 1448922223.0270
MEM 87.738281 1448922223.1276
MEM 91.281250 1448922223.2281
MEM 94.804688 1448922223.3284
MEM 98.378906 1448922223.4287
MEM 101.238281 1448922223.5293
MEM 102.042969 1448922223.6298
MEM 80.953125 1448922223.7304
MEM 80.953125 1448922223.8310
MEM 80.953125 1448922223.9313
MEM 82.453125 1448922224.0316
MEM 82.703125 1448922224.1320
MEM 82.703125 1448922224.2323
MEM 82.703125 1448922224.3325
MEM 82.703125 1448922224.4330
MEM 81.453125 1448922224.5336
MEM 81.480469 1448922224.6340
MEM 81.480469 1448922224.7343
MEM 81.480469 1448922224.8346
MEM 83.238281 1448922224.9349
MEM 86.289062 1448922225.0353
MEM 98.660156 1448922225.1358
MEM 98.824219 1448922225.2362
MEM 96.824219 1448922225.3367
MEM 96.824219 1448922225.4372
MEM 96.824219 1448922225.5375
MEM 96.824219 1448922225.6378
MEM 97.601562 1448922225.7381
MEM 100.769531 1448922225.8384
MEM 103.511719 1448922225.9389
MEM 105.277344 1448922226.0394
MEM 107.152344 1448922226.1397
MEM 109.039062 1448922226.2400
MEM 111.265625 1448922226.3403
MEM 112.710938 1448922226.4407
MEM 118.093750 1448922226.5411
MEM 123.824219 1448922226.6417
MEM 125.500000 1448922226.7423
MEM 126.910156 1448922226.8426
MEM 115.214844 1448922226.9430
MEM 120.144531 1448922227.0434
MEM 100.394531 1448922227.1439
MEM 100.394531 1448922227.2442
MEM 100.394531 1448922227.3447
MEM 100.394531 1448922227.4452
MEM 100.394531 1448922227.5455
MEM 100.394531 1448922227.6458
MEM 100.394531 1448922227.7461
MEM 98.804688 1448922227.8466
MEM 98.914062 1448922227.9469
MEM 98.914062 1448922228.0474
MEM 98.914062 1448922228.1480
MEM 98.914062 1448922228.2483
MEM 98.914062 1448922228.3487
MEM 98.664062 1448922228.4491
MEM 98.414062 1448922228.5494
MEM 98.425781 1448922228.6497
MEM 98.425781 1448922228.7503
MEM 98.425781 1448922228.8507
MEM 98.425781 1448922228.9510
MEM 98.175781 1448922229.0516
MEM 98.175781 1448922229.1520
MEM 98.175781 1448922229.2523
MEM 98.175781 1448922229.3526
MEM 98.175781 1448922229.4532
MEM 98.175781 1448922229.5537
MEM 99.175781 1448922229.6541
MEM 134.527344 1448922229.7546
MEM 134.527344 1448922229.8549
MEM 134.527344 1448922229.9552
MEM 134.277344 1448922230.0557
MEM 134.277344 1448922230.1563
MEM 134.277344 1448922230.2565
MEM 135.425781 1448922230.3568
MEM 138.851562 1448922230.4570
MEM 142.355469 1448922230.5573
MEM 144.554688 1448922230.6577
MEM 146.585938 1448922230.7580
MEM 148.625000 1448922230.8584
MEM 151.246094 1448922230.9587
MEM 152.425781 1448922231.0591
MEM 155.859375 1448922231.1594
MEM 158.343750 1448922231.2599
MEM 160.371094 1448922231.3603
MEM 162.402344 1448922231.4607
MEM 165.093750 1448922231.5610
MEM 167.859375 1448922231.6614
MEM 171.328125 1448922231.7617
MEM 176.996094 1448922231.8620
MEM 177.941406 1448922231.9626
MEM 178.414062 1448922232.0632
MEM 182.140625 1448922232.1635
MEM 185.867188 1448922232.2638
MEM 190.757812 1448922232.3641
MEM 196.917969 1448922232.4644
MEM 203.207031 1448922232.5647
MEM 207.363281 1448922232.6652
MEM 210.996094 1448922232.7655
MEM 214.781250 1448922232.8658
MEM 219.105469 1448922232.9664
MEM 219.105469 1448922233.0670
MEM 221.707031 1448922233.1675
MEM 227.671875 1448922233.2680
MEM 232.128906 1448922233.3685
MEM 236.453125 1448922233.4688
MEM 240.824219 1448922233.5691
MEM 244.765625 1448922233.6694
MEM 249.738281 1448922233.7697
MEM 255.925781 1448922233.8701
MEM 259.812500 1448922233.9707
MEM 260.406250 1448922234.0713
MEM 260.406250 1448922234.1720
MEM 261.320312 1448922234.2725
MEM 266.425781 1448922234.3728
MEM 272.656250 1448922234.4731
MEM 278.175781 1448922234.5735
MEM 281.433594 1448922234.6740
MEM 281.433594 1448922234.7747
MEM 286.273438 1448922234.8752
MEM 296.402344 1448922234.9757
MEM 296.519531 1448922235.0763
MEM 296.519531 1448922235.1769
MEM 299.996094 1448922235.2775
MEM 306.398438 1448922235.3780
MEM 313.300781 1448922235.4785
MEM 318.804688 1448922235.5791
MEM 324.828125 1448922235.6796
MEM 325.078125 1448922235.7802
MEM 325.078125 1448922235.8809
MEM 325.078125 1448922235.9816
MEM 325.593750 1448922236.0821
MEM 327.273438 1448922236.1824
MEM 328.445312 1448922236.2828
MEM 329.601562 1448922236.3833
MEM 330.277344 1448922236.4839
MEM 330.570312 1448922236.5842
MEM 332.222656 1448922236.6848
MEM 332.238281 1448922236.7855
MEM 305.996094 1448922236.8861
MEM 305.996094 1448922236.9867
MEM 305.996094 1448922237.0873
MEM 305.996094 1448922237.1878
MEM 305.996094 1448922237.2884
MEM 305.996094 1448922237.3890
MEM 305.996094 1448922237.4895
MEM 314.179688 1448922237.5899
MEM 314.179688 1448922237.6905
MEM 314.382812 1448922237.7910
MEM 314.382812 1448922237.8913
MEM 314.382812 1448922237.9916
MEM 314.382812 1448922238.0920
MEM 314.382812 1448922238.1923
MEM 314.382812 1448922238.2925
MEM 314.382812 1448922238.3931
MEM 314.382812 1448922238.4937
MEM 226.132812 1448922238.5943
MEM 226.132812 1448922238.6945
MEM 226.132812 1448922238.7948
MEM 226.132812 1448922238.8951
MEM 226.132812 1448922238.9957
MEM 226.132812 1448922239.0962
MEM 226.132812 1448922239.1965
MEM 226.132812 1448922239.2968
MEM 226.132812 1448922239.3973
MEM 226.132812 1448922239.4979
MEM 226.132812 1448922239.5986
MEM 226.132812 1448922239.6991
MEM 226.132812 1448922239.7997
MEM 226.132812 1448922239.9002
MEM 226.132812 1448922240.0008
MEM 226.132812 1448922240.1014
MEM 212.382812 1448922240.2019
MEM 212.382812 1448922240.3025
MEM 212.382812 1448922240.4029
MEM 212.382812 1448922240.5033
MEM 212.382812 1448922240.6035
MEM 212.382812 1448922240.7039
MEM 212.132812 1448922240.8046
MEM 212.136719 1448922240.9051
MEM 212.136719 1448922241.0054
MEM 212.136719 1448922241.1057
MEM 212.136719 1448922241.2063
MEM 205.136719 1448922241.3068
MEM 205.136719 1448922241.4071
MEM 205.136719 1448922241.5076
MEM 205.136719 1448922241.6081
MEM 205.136719 1448922241.7084
MEM 205.136719 1448922241.8087
MEM 205.136719 1448922241.9090
MEM 205.136719 1448922242.0093
MEM 205.136719 1448922242.1099
MEM 205.136719 1448922242.2104
MEM 205.136719 1448922242.3110
MEM 205.136719 1448922242.4114
MEM 204.636719 1448922242.5119
MEM 204.636719 1448922242.6124
MEM 204.636719 1448922242.7127
MEM 204.636719 1448922242.8132
MEM 199.386719 1448922242.9137
MEM 199.386719 1448922243.0141
MEM 196.886719 1448922243.1144
MEM 196.886719 1448922243.2147
MEM 196.886719 1448922243.3150
MEM 196.886719 1448922243.4155
MEM 196.886719 1448922243.5160
MEM 196.886719 1448922243.6163
MEM 196.886719 1448922243.7168
MEM 196.886719 1448922243.8173
MEM 196.886719 1448922243.9178
MEM 195.886719 1448922244.0183
MEM 195.886719 1448922244.1189
MEM 195.886719 1448922244.2193
MEM 195.886719 1448922244.3195
MEM 195.886719 1448922244.4198
MEM 195.886719 1448922244.5204
MEM 194.636719 1448922244.6209
MEM 194.636719 1448922244.7215
MEM 194.636719 1448922244.8221
MEM 193.886719 1448922244.9226
MEM 193.886719 1448922245.0229
MEM 193.886719 1448922245.1232
MEM 189.136719 1448922245.2237
MEM 187.140625 1448922245.3240
MEM 187.140625 1448922245.4245
MEM 187.140625 1448922245.5249
MEM 187.140625 1448922245.6252
MEM 187.140625 1448922245.7255
MEM 186.890625 1448922245.8258
MEM 185.390625 1448922245.9263
MEM 185.390625 1448922246.0265
MEM 185.390625 1448922246.1270
MEM 185.390625 1448922246.2275
MEM 185.390625 1448922246.3279
MEM 185.390625 1448922246.4282
MEM 185.390625 1448922246.5285
MEM 185.390625 1448922246.6287
MEM 185.390625 1448922246.7291
MEM 185.390625 1448922246.8297
MEM 185.390625 1448922246.9300
MEM 185.390625 1448922247.0303
MEM 186.750000 1448922247.1308
MEM 189.687500 1448922247.2313
MEM 190.050781 1448922247.3317
MEM 190.140625 1448922247.4323
MEM 190.140625 1448922247.5328
MEM 190.140625 1448922247.6332
MEM 190.140625 1448922247.7335
MEM 190.140625 1448922247.8338
MEM 190.140625 1448922247.9341
MEM 190.140625 1448922248.0345
MEM 190.140625 1448922248.1350
MEM 190.140625 1448922248.2353
MEM 190.140625 1448922248.3357
MEM 185.890625 1448922248.4362
MEM 186.085938 1448922248.5365
MEM 185.890625 1448922248.6369
MEM 185.890625 1448922248.7374
MEM 185.890625 1448922248.8379
MEM 185.890625 1448922248.9382
MEM 185.890625 1448922249.0386
MEM 185.890625 1448922249.1389
MEM 185.390625 1448922249.2394
MEM 185.390625 1448922249.3396
MEM 185.390625 1448922249.4401
MEM 185.390625 1448922249.5406
MEM 185.390625 1448922249.6411
MEM 184.890625 1448922249.7416
MEM 184.640625 1448922249.8419
MEM 184.640625 1448922249.9425
MEM 184.195312 1448922250.0436
MEM 184.140625 1448922250.1439
MEM 184.140625 1448922250.2442
MEM 184.140625 1448922250.3445
MEM 184.140625 1448922250.4448
MEM 184.140625 1448922250.5451
MEM 184.140625 1448922250.6457
MEM 184.140625 1448922250.7461
MEM 181.140625 1448922250.8467
MEM 181.140625 1448922250.9470
MEM 181.140625 1448922251.0473
MEM 181.140625 1448922251.1476
MEM 181.144531 1448922251.2482
MEM 181.144531 1448922251.3487
MEM 181.144531 1448922251.4490
MEM 180.894531 1448922251.5495
MEM 180.894531 1448922251.6498
MEM 180.898438 1448922251.7501
MEM 180.898438 1448922251.8504
MEM 180.898438 1448922251.9509
MEM 180.902344 1448922252.0513
MEM 180.902344 1448922252.1515
MEM 180.902344 1448922252.2519
MEM 180.652344 1448922252.3523
MEM 180.652344 1448922252.4526
MEM 180.652344 1448922252.5529
MEM 180.652344 1448922252.6535
MEM 180.652344 1448922252.7538
MEM 180.652344 1448922252.8544
MEM 180.652344 1448922252.9548
MEM 180.652344 1448922253.0551
MEM 180.652344 1448922253.1556
MEM 180.777344 1448922253.2562
MEM 180.652344 1448922253.3567
MEM 180.652344 1448922253.4570
MEM 180.652344 1448922253.5574
MEM 180.652344 1448922253.6577
MEM 180.652344 1448922253.7580
MEM 180.652344 1448922253.8582
MEM 180.652344 1448922253.9588
MEM 180.652344 1448922254.0593
MEM 180.652344 1448922254.1598
MEM 180.664062 1448922254.2601
MEM 180.664062 1448922254.3604
MEM 180.664062 1448922254.4607
MEM 180.664062 1448922254.5612
MEM 180.664062 1448922254.6616
MEM 180.664062 1448922254.7620
MEM 180.664062 1448922254.8626
MEM 180.414062 1448922254.9631
MEM 180.414062 1448922255.0634
MEM 180.414062 1448922255.1639
MEM 180.414062 1448922255.2643
MEM 180.414062 1448922255.3645
MEM 180.414062 1448922255.4648
MEM 180.414062 1448922255.5652
MEM 180.164062 1448922255.6657
MEM 180.164062 1448922255.7659
MEM 180.164062 1448922255.8664
MEM 180.164062 1448922255.9669
MEM 180.457031 1448922256.0673
MEM 180.164062 1448922256.1677
MEM 180.164062 1448922256.2680
MEM 180.164062 1448922256.3686
MEM 180.164062 1448922256.4691
MEM 180.664062 1448922256.5697
MEM 180.664062 1448922256.6701
MEM 180.667969 1448922256.7704
MEM 180.667969 1448922256.8707
MEM 180.667969 1448922256.9711
MEM 180.667969 1448922257.0714
MEM 180.167969 1448922257.1720
MEM 180.167969 1448922257.2725
MEM 179.917969 1448922257.3729
MEM 179.917969 1448922257.4732
MEM 179.917969 1448922257.5734
MEM 179.917969 1448922257.6738
MEM 179.917969 1448922257.7740
MEM 179.917969 1448922257.8745
MEM 179.917969 1448922257.9752
MEM 179.917969 1448922258.0757
MEM 180.347656 1448922258.1761
MEM 179.917969 1448922258.2766
MEM 179.917969 1448922258.3769
MEM 179.917969 1448922258.4771
MEM 179.917969 1448922258.5776
MEM 182.718750 1448922258.6781
MEM 183.917969 1448922258.7786
MEM 184.328125 1448922258.8789
MEM 187.710938 1448922258.9792
MEM 191.214844 1448922259.0795
MEM 194.738281 1448922259.1799
MEM 197.832031 1448922259.2804
MEM 201.039062 1448922259.3807
MEM 203.390625 1448922259.4810
MEM 203.773438 1448922259.5817
MEM 206.812500 1448922259.6821
MEM 210.835938 1448922259.7826
MEM 212.125000 1448922259.8831
MEM 214.402344 1448922259.9836
MEM 220.449219 1448922260.0841
MEM 221.378906 1448922260.1848
MEM 225.332031 1448922260.2854
MEM 226.265625 1448922260.3858
MEM 227.417969 1448922260.4863
MEM 224.917969 1448922260.5868
MEM 224.917969 1448922260.6874
MEM 224.917969 1448922260.7878
MEM 224.917969 1448922260.8883
MEM 224.917969 1448922260.9887
MEM 221.167969 1448922261.0893
MEM 190.917969 1448922261.1898
MEM 190.917969 1448922261.2901
MEM 190.917969 1448922261.3904
MEM 190.917969 1448922261.4907
MEM 190.917969 1448922261.5910
MEM 190.917969 1448922261.6915
MEM 192.902344 1448922261.7921
MEM 194.492188 1448922261.8926
MEM 197.652344 1448922261.9930
MEM 200.894531 1448922262.0933
MEM 204.320312 1448922262.1935
MEM 207.675781 1448922262.2940
MEM 212.019531 1448922262.3944
MEM 212.652344 1448922262.4950
MEM 214.152344 1448922262.5956
MEM 218.273438 1448922262.6961
MEM 225.355469 1448922262.7966
MEM 226.085938 1448922262.8971
MEM 227.070312 1448922262.9977
MEM 227.070312 1448922263.0985
MEM 227.914062 1448922263.1991
MEM 223.917969 1448922263.2997
MEM 223.917969 1448922263.4001
MEM 223.667969 1448922263.5006
MEM 223.667969 1448922263.6011
MEM 223.667969 1448922263.7015
MEM 223.667969 1448922263.8018
MEM 223.667969 1448922263.9021
MEM 223.667969 1448922264.0024
MEM 223.667969 1448922264.1027
MEM 223.667969 1448922264.2029
MEM 223.667969 1448922264.3036
MEM 209.167969 1448922264.4042
MEM 209.167969 1448922264.5045
MEM 209.167969 1448922264.6048
MEM 209.167969 1448922264.7051
MEM 209.167969 1448922264.8058
MEM 209.167969 1448922264.9063
MEM 209.167969 1448922265.0067
MEM 209.167969 1448922265.1071
MEM 209.167969 1448922265.2077
MEM 209.167969 1448922265.3082
MEM 211.796875 1448922265.4085
MEM 214.613281 1448922265.5090
MEM 221.628906 1448922265.6095
MEM 223.582031 1448922265.7101
MEM 224.917969 1448922265.8107
MEM 226.093750 1448922265.9112
MEM 227.308594 1448922266.0116
MEM 215.972656 1448922266.1122
MEM 215.972656 1448922266.2128
MEM 215.972656 1448922266.3132
MEM 215.972656 1448922266.4135
MEM 215.972656 1448922266.5138
MEM 215.972656 1448922266.6141
MEM 215.972656 1448922266.7145
MEM 215.972656 1448922266.8151
MEM 188.417969 1448922266.9157
MEM 188.417969 1448922267.0160
MEM 188.417969 1448922267.1163
MEM 188.417969 1448922267.2166
MEM 188.417969 1448922267.3169
MEM 188.417969 1448922267.4174
MEM 188.417969 1448922267.5179
MEM 188.417969 1448922267.6182
MEM 188.417969 1448922267.7187
MEM 190.125000 1448922267.8192
MEM 193.417969 1448922267.9197
MEM 193.667969 1448922268.0203
MEM 193.667969 1448922268.1208
MEM 193.667969 1448922268.2212
MEM 193.667969 1448922268.3215
MEM 193.667969 1448922268.4218
MEM 193.667969 1448922268.5221
MEM 188.917969 1448922268.6227
MEM 188.917969 1448922268.7232
MEM 188.917969 1448922268.8235
MEM 188.917969 1448922268.9238
MEM 188.917969 1448922269.0241
MEM 188.917969 1448922269.1246
MEM 192.144531 1448922269.2252
MEM 192.167969 1448922269.3258
MEM 192.460938 1448922269.4265
MEM 190.710938 1448922269.5270
MEM 190.863281 1448922269.6273
MEM 190.710938 1448922269.7276
MEM 190.710938 1448922269.8278
MEM 190.710938 1448922269.9281
MEM 190.917969 1448922270.0286
MEM 190.917969 1448922270.1291
MEM 190.917969 1448922270.2295
MEM 186.917969 1448922270.3300
MEM 186.917969 1448922270.4303
MEM 186.917969 1448922270.5305
MEM 186.917969 1448922270.6310
MEM 184.417969 1448922270.7316
MEM 184.417969 1448922270.8320
MEM 184.417969 1448922270.9323
MEM 183.417969 1448922271.0326
MEM 183.417969 1448922271.1330
MEM 183.417969 1448922271.2333
MEM 183.417969 1448922271.3336
MEM 183.167969 1448922271.4341
MEM 183.167969 1448922271.5345
MEM 183.167969 1448922271.6349
MEM 183.167969 1448922271.7352
MEM 181.667969 1448922271.8356
MEM 180.917969 1448922271.9359
MEM 180.917969 1448922272.0364
MEM 180.917969 1448922272.1369
MEM 180.917969 1448922272.2372
MEM 180.917969 1448922272.3375
MEM 180.917969 1448922272.4381
MEM 180.917969 1448922272.5386
MEM 180.917969 1448922272.6389
MEM 180.917969 1448922272.7394
MEM 180.917969 1448922272.8399
MEM 180.917969 1448922272.9402
MEM 181.953125 1448922273.0407
MEM 182.046875 1448922273.1411
MEM 182.167969 1448922273.2418
MEM 180.917969 1448922273.3424
MEM 180.917969 1448922273.4429
MEM 180.917969 1448922273.5432
MEM 180.917969 1448922273.6437
MEM 180.667969 1448922273.7441
MEM 180.667969 1448922273.8444
MEM 180.167969 1448922273.9449
MEM 179.417969 1448922274.0454
MEM 179.417969 1448922274.1457
MEM 179.417969 1448922274.2461
MEM 179.417969 1448922274.3465
MEM 179.417969 1448922274.4468
MEM 179.417969 1448922274.5472
MEM 179.417969 1448922274.6478
MEM 179.167969 1448922274.7484
MEM 178.917969 1448922274.8488
MEM 178.917969 1448922274.9491
MEM 178.917969 1448922275.0494
MEM 178.917969 1448922275.1498
MEM 179.097656 1448922275.2503
MEM 178.917969 1448922275.3508
MEM 178.667969 1448922275.4512
MEM 178.667969 1448922275.5516
MEM 178.621094 1448922275.6519
MEM 178.417969 1448922275.7522
MEM 178.417969 1448922275.8525
MEM 178.417969 1448922275.9530
MEM 178.996094 1448922276.0536
MEM 179.167969 1448922276.1541
MEM 183.410156 1448922276.2546
MEM 185.289062 1448922276.3550
MEM 185.417969 1448922276.4555
MEM 185.417969 1448922276.5561
MEM 185.417969 1448922276.6565
MEM 185.417969 1448922276.7568
MEM 181.417969 1448922276.8573
MEM 181.417969 1448922276.9576
MEM 181.417969 1448922277.0579
MEM 181.417969 1448922277.1584
MEM 181.832031 1448922277.2589
MEM 181.871094 1448922277.3594
MEM 181.917969 1448922277.4597
MEM 180.917969 1448922277.5602
MEM 180.917969 1448922277.6605
MEM 180.917969 1448922277.7608
MEM 180.917969 1448922277.8610
MEM 183.375000 1448922277.9615
MEM 186.562500 1448922278.0620
MEM 189.820312 1448922278.1622
MEM 190.800781 1448922278.2627
MEM 194.136719 1448922278.3630
MEM 197.695312 1448922278.4633
MEM 201.027344 1448922278.5638
MEM 204.234375 1448922278.6642
MEM 207.277344 1448922278.7645
MEM 211.421875 1448922278.8648
MEM 212.164062 1448922278.9653
MEM 212.746094 1448922279.0658
MEM 220.578125 1448922279.1663
MEM 224.582031 1448922279.2670
MEM 225.828125 1448922279.3675
MEM 225.906250 1448922279.4681
MEM 226.589844 1448922279.5686
MEM 224.417969 1448922279.6691
MEM 224.417969 1448922279.7696
MEM 225.085938 1448922279.8700
MEM 224.417969 1448922279.9705
MEM 224.417969 1448922280.0710
MEM 224.417969 1448922280.1713
MEM 224.417969 1448922280.2716
MEM 224.417969 1448922280.3719
MEM 224.417969 1448922280.4725
MEM 208.167969 1448922280.5731
MEM 208.167969 1448922280.6736
MEM 208.167969 1448922280.7739
MEM 208.167969 1448922280.8742
MEM 208.167969 1448922280.9745
MEM 208.167969 1448922281.0748
MEM 208.167969 1448922281.1754
MEM 208.167969 1448922281.2759
MEM 208.167969 1448922281.3763
MEM 209.359375 1448922281.4766
MEM 212.250000 1448922281.5769
MEM 214.683594 1448922281.6774
MEM 221.171875 1448922281.7780
MEM 221.175781 1448922281.8786
MEM 225.582031 1448922281.9792
MEM 225.832031 1448922282.0797
MEM 226.425781 1448922282.1801
MEM 227.175781 1448922282.2804
MEM 227.996094 1448922282.3808
MEM 221.667969 1448922282.4814
MEM 221.667969 1448922282.5820
MEM 221.667969 1448922282.6827
MEM 221.667969 1448922282.7831
MEM 221.667969 1448922282.8835
MEM 221.667969 1448922282.9837
MEM 192.167969 1448922283.0842
MEM 192.167969 1448922283.1845
MEM 192.167969 1448922283.2849
MEM 192.167969 1448922283.3853
MEM 192.167969 1448922283.4856
MEM 192.167969 1448922283.5860
MEM 192.167969 1448922283.6863
MEM 192.167969 1448922283.7865
MEM 192.210938 1448922283.8871
MEM 193.386719 1448922283.9877
MEM 195.527344 1448922284.0880
MEM 197.613281 1448922284.1883
MEM 199.738281 1448922284.2886
MEM 202.511719 1448922284.3889
MEM 206.015625 1448922284.4892
MEM 208.656250 1448922284.5897
MEM 211.769531 1448922284.6901
MEM 212.578125 1448922284.7904
MEM 213.828125 1448922284.8910
MEM 213.828125 1448922284.9916
MEM 220.636719 1448922285.0921
MEM 225.882812 1448922285.1928
MEM 226.226562 1448922285.2933
MEM 226.832031 1448922285.3936
MEM 227.375000 1448922285.4943
MEM 227.375000 1448922285.5950
MEM 228.312500 1448922285.6955
MEM 219.210938 1448922285.7961
MEM 219.210938 1448922285.8967
MEM 219.210938 1448922285.9972
MEM 219.878906 1448922286.0977
MEM 219.210938 1448922286.1981
MEM 219.210938 1448922286.2984
MEM 219.210938 1448922286.3987
MEM 219.210938 1448922286.4992
MEM 219.417969 1448922286.5997
MEM 219.417969 1448922286.7000
MEM 219.417969 1448922286.8003
MEM 203.917969 1448922286.9007
MEM 203.917969 1448922287.0010
MEM 203.917969 1448922287.1013
MEM 203.917969 1448922287.2018
MEM 203.917969 1448922287.3021
MEM 203.917969 1448922287.4024
MEM 203.917969 1448922287.5027
MEM 203.917969 1448922287.6030
MEM 206.023438 1448922287.7035
MEM 206.023438 1448922287.8041
MEM 207.613281 1448922287.9047
MEM 210.644531 1448922288.0050
MEM 212.101562 1448922288.1053
MEM 214.285156 1448922288.2057
MEM 222.062500 1448922288.3062
MEM 222.855469 1448922288.4069
MEM 225.097656 1448922288.5074
MEM 225.519531 1448922288.6080
MEM 226.113281 1448922288.7084
MEM 227.179688 1448922288.8087
