CMDLINE python dummy_atom_scheme_mem_debug.py
MEM 96.242188 1448926716.1895
MEM 96.242188 1448926716.2934
MEM 96.242188 1448926716.3977
MEM 96.242188 1448926716.5013
MEM 96.242188 1448926716.6047
MEM 96.242188 1448926716.7091
MEM 96.007812 1448926716.8134
MEM 95.492188 1448926716.9185
MEM 95.492188 1448926717.0208
MEM 96.410156 1448926717.1260
MEM 96.246094 1448926717.2283
MEM 96.246094 1448926717.3308
MEM 93.375000 1448926717.4343
MEM 94.984375 1448926717.5388
MEM 94.984375 1448926717.6407
MEM 95.039062 1448926717.7438
MEM 94.050781 1448926717.8468
MEM 94.050781 1448926717.9509
MEM 94.683594 1448926718.0538
MEM 94.683594 1448926718.1589
MEM 94.687500 1448926718.2605
MEM 94.687500 1448926718.3639
MEM 95.035156 1448926718.4681
MEM 94.285156 1448926718.5702
MEM 94.734375 1448926718.6744
MEM 94.988281 1448926718.7776
MEM 94.988281 1448926718.8810
MEM 94.734375 1448926718.9830
MEM 94.734375 1448926719.0869
MEM 94.734375 1448926719.1920
MEM 97.230469 1448926719.2972
MEM 99.617188 1448926719.4021
MEM 99.761719 1448926719.5070
MEM 99.761719 1448926719.6079
MEM 99.660156 1448926719.7084
MEM 95.175781 1448926719.8126
MEM 95.175781 1448926719.9167
MEM 94.800781 1448926720.0197
MEM 96.542969 1448926720.1233
MEM 96.542969 1448926720.2267
MEM 96.542969 1448926720.3292
MEM 99.750000 1448926720.4344
MEM 100.191406 1448926720.5387
MEM 109.566406 1448926720.6411
MEM 114.414062 1448926720.7424
MEM 114.414062 1448926720.8467
MEM 116.730469 1448926720.9503
MEM 107.855469 1448926721.0529
MEM 115.675781 1448926721.1572
MEM 125.628906 1448926721.2591
MEM 137.179688 1448926721.3633
MEM 140.695312 1448926721.4677
MEM 152.437500 1448926721.5701
MEM 163.218750 1448926721.6743
MEM 174.250000 1448926721.7779
MEM 178.023438 1448926721.8819
MEM 186.984375 1448926721.9857
MEM 198.914062 1448926722.0900
MEM 207.164062 1448926722.1941
MEM 207.164062 1448926722.2980
MEM 223.492188 1448926722.4032
MEM 228.070312 1448926722.5035
MEM 228.414062 1448926722.6062
MEM 230.007812 1448926722.7109
MEM 231.718750 1448926722.8135
MEM 235.023438 1448926722.9173
MEM 225.964844 1448926723.0192
MEM 225.968750 1448926723.1244
MEM 232.011719 1448926723.2274
MEM 232.585938 1448926723.3299
MEM 232.585938 1448926723.4336
MEM 232.585938 1448926723.5389
MEM 232.585938 1448926723.6410
MEM 232.585938 1448926723.7434
MEM 231.835938 1448926723.8439
MEM 231.394531 1448926723.9476
MEM 232.625000 1448926724.0489
MEM 142.996094 1448926724.1528
MEM 143.308594 1448926724.2578
MEM 143.308594 1448926724.3621
MEM 142.015625 1448926724.4639
MEM 141.515625 1448926724.5689
MEM 133.265625 1448926724.6730
MEM 131.949219 1448926724.7748
MEM 131.949219 1448926724.8771
MEM 129.949219 1448926724.9816
MEM 129.949219 1448926725.0867
MEM 130.441406 1448926725.1917
MEM 130.441406 1448926725.2957
MEM 103.285156 1448926725.4004
MEM 103.285156 1448926725.5029
MEM 103.285156 1448926725.6080
MEM 103.773438 1448926725.7085
MEM 107.816406 1448926725.8126
MEM 108.703125 1448926725.9158
MEM 109.437500 1448926726.0197
MEM 109.437500 1448926726.1235
MEM 104.523438 1448926726.2276
MEM 105.542969 1448926726.3324
MEM 106.167969 1448926726.4363
MEM 108.265625 1448926726.5415
MEM 107.265625 1448926726.6453
MEM 107.265625 1448926726.7505
MEM 106.953125 1448926726.8551
MEM 106.953125 1448926726.9603
MEM 107.015625 1448926727.0626
MEM 106.437500 1448926727.1671
MEM 106.437500 1448926727.2695
MEM 106.437500 1448926727.3736
MEM 106.515625 1448926727.4751
MEM 107.605469 1448926727.5794
MEM 107.656250 1448926727.6837
MEM 107.191406 1448926727.7866
MEM 107.191406 1448926727.8909
MEM 107.191406 1448926727.9952
MEM 105.945312 1448926728.1001
MEM 133.140625 1448926728.2032
MEM 133.140625 1448926728.3056
MEM 133.140625 1448926728.4082
MEM 133.140625 1448926728.5104
MEM 135.492188 1448926728.6138
MEM 145.597656 1448926728.7181
MEM 150.542969 1448926728.8201
MEM 160.222656 1448926728.9204
MEM 168.792969 1448926729.0238
MEM 177.808594 1448926729.1269
MEM 187.511719 1448926729.2296
MEM 189.691406 1448926729.3321
MEM 200.203125 1448926729.4363
MEM 210.648438 1448926729.5389
MEM 220.570312 1448926729.6420
MEM 228.105469 1448926729.7454
MEM 229.316406 1448926729.8506
MEM 237.472656 1448926729.9558
MEM 249.453125 1448926730.0570
MEM 251.054688 1448926730.1618
MEM 257.046875 1448926730.2625
MEM 259.546875 1448926730.3667
MEM 261.437500 1448926730.4678
MEM 264.019531 1448926730.5723
MEM 263.632812 1448926730.6728
MEM 264.238281 1448926730.7754
MEM 264.847656 1448926730.8802
MEM 107.656250 1448926730.9828
MEM 112.953125 1448926731.0862
MEM 112.953125 1448926731.1877
MEM 112.953125 1448926731.2925
MEM 112.953125 1448926731.3976
MEM 120.347656 1448926731.5011
MEM 129.148438 1448926731.6038
MEM 130.785156 1448926731.7049
MEM 132.792969 1448926731.8086
MEM 133.531250 1448926731.9137
MEM 135.414062 1448926732.0189
MEM 135.414062 1448926732.1241
MEM 121.570312 1448926732.2292
MEM 121.570312 1448926732.3332
MEM 121.570312 1448926732.4372
MEM 122.320312 1448926732.5380
MEM 128.054688 1448926732.6430
MEM 128.039062 1448926732.7481
MEM 128.316406 1448926732.8512
MEM 128.269531 1448926732.9536
MEM 109.570312 1448926733.0548
MEM 109.570312 1448926733.1600
MEM 110.320312 1448926733.2620
MEM 109.945312 1448926733.3641
MEM 109.945312 1448926733.4644
MEM 109.945312 1448926733.5695
MEM 110.660156 1448926733.6717
MEM 110.660156 1448926733.7760
MEM 110.132812 1448926733.8784
MEM 110.132812 1448926733.9799
MEM 110.132812 1448926734.0851
MEM 110.386719 1448926734.1857
MEM 110.386719 1448926734.2860
MEM 110.757812 1448926734.3884
MEM 110.507812 1448926734.4888
MEM 110.886719 1448926734.5928
MEM 108.039062 1448926734.6962
MEM 126.042969 1448926734.7999
MEM 126.042969 1448926734.9042
MEM 126.042969 1448926735.0094
MEM 126.152344 1448926735.1103
MEM 133.093750 1448926735.2143
MEM 144.656250 1448926735.3187
MEM 154.597656 1448926735.4223
MEM 158.757812 1448926735.5263
MEM 168.898438 1448926735.6288
MEM 181.179688 1448926735.7331
MEM 192.835938 1448926735.8377
MEM 199.078125 1448926735.9425
MEM 204.777344 1448926736.0440
MEM 217.167969 1448926736.1481
MEM 227.871094 1448926736.2525
MEM 237.949219 1448926736.3575
MEM 238.593750 1448926736.4619
MEM 243.707031 1448926736.5637
MEM 257.460938 1448926736.6675
MEM 259.546875 1448926736.7691
MEM 263.007812 1448926736.8708
MEM 271.574219 1448926736.9745
MEM 275.246094 1448926737.0767
MEM 277.617188 1448926737.1807
MEM 277.617188 1448926737.2818
MEM 278.609375 1448926737.3836
MEM 282.296875 1448926737.4875
MEM 282.546875 1448926737.5902
MEM 282.546875 1448926737.6923
MEM 282.800781 1448926737.7951
MEM 283.203125 1448926737.8996
MEM 283.203125 1448926738.0046
MEM 283.335938 1448926738.1084
MEM 283.468750 1448926738.2136
MEM 283.277344 1448926738.3166
MEM 217.796875 1448926738.4203
MEM 140.925781 1448926738.5247
MEM 140.425781 1448926738.6293
MEM 140.683594 1448926738.7340
MEM 142.421875 1448926738.8367
MEM 120.921875 1448926738.9419
MEM 120.316406 1448926739.0424
MEM 120.316406 1448926739.1458
MEM 116.132812 1448926739.2495
MEM 117.507812 1448926739.3540
MEM 117.507812 1448926739.4559
MEM 117.171875 1448926739.5572
MEM 117.171875 1448926739.6606
MEM 116.730469 1448926739.7640
MEM 117.480469 1448926739.8677
MEM 117.375000 1448926739.9716
MEM 113.953125 1448926740.0757
MEM 111.464844 1448926740.1793
MEM 111.464844 1448926740.2828
MEM 111.464844 1448926740.3878
MEM 111.464844 1448926740.4929
MEM 111.464844 1448926740.5970
MEM 111.464844 1448926740.6996
MEM 112.546875 1448926740.8005
MEM 112.546875 1448926740.9020
MEM 112.796875 1448926741.0055
MEM 113.835938 1448926741.1094
MEM 113.835938 1448926741.2121
MEM 113.585938 1448926741.3164
MEM 113.847656 1448926741.4203
MEM 115.761719 1448926741.5247
MEM 115.761719 1448926741.6287
MEM 115.761719 1448926741.7325
MEM 116.113281 1448926741.8373
MEM 123.019531 1448926741.9405
MEM 125.527344 1448926742.0449
MEM 132.945312 1448926742.1499
MEM 134.226562 1448926742.2549
MEM 134.359375 1448926742.3597
MEM 135.285156 1448926742.4644
MEM 118.945312 1448926742.5680
MEM 119.695312 1448926742.6720
MEM 117.855469 1448926742.7721
MEM 117.507812 1448926742.8747
MEM 117.523438 1448926742.9796
MEM 117.195312 1448926743.0822
MEM 117.195312 1448926743.1865
MEM 116.945312 1448926743.2869
MEM 121.636719 1448926743.3910
MEM 121.636719 1448926743.4959
MEM 121.636719 1448926743.5988
MEM 121.636719 1448926743.7014
MEM 121.636719 1448926743.8064
