CMDLINE python just_load.py
MEM 213.523438 1448928321.6070
MEM 143.976562 1448928321.7110
MEM 142.300781 1448928321.8153
MEM 142.300781 1448928321.9204
MEM 142.394531 1448928322.0251
MEM 143.074219 1448928322.1298
MEM 138.152344 1448928322.2316
MEM 140.328125 1448928322.3358
MEM 139.328125 1448928322.4380
MEM 139.328125 1448928322.5419
MEM 139.347656 1448928322.6424
MEM 139.417969 1448928322.7433
MEM 138.820312 1448928322.8475
MEM 138.820312 1448928322.9526
MEM 138.820312 1448928323.0575
MEM 138.820312 1448928323.1622
MEM 138.109375 1448928323.2672
MEM 138.109375 1448928323.3696
MEM 138.109375 1448928323.4746
MEM 137.050781 1448928323.5797
MEM 137.050781 1448928323.6834
MEM 137.539062 1448928323.7884
MEM 137.445312 1448928323.8934
MEM 132.222656 1448928323.9983
MEM 132.238281 1448928324.0987
MEM 129.488281 1448928324.2036
MEM 129.488281 1448928324.3085
MEM 129.156250 1448928324.4137
MEM 129.507812 1448928324.5142
MEM 129.507812 1448928324.6182
MEM 131.308594 1448928324.7222
MEM 155.832031 1448928324.8271
MEM 155.832031 1448928324.9322
MEM 155.832031 1448928325.0372
MEM 155.832031 1448928325.1422
MEM 155.832031 1448928325.2468
MEM 161.031250 1448928325.3520
MEM 167.183594 1448928325.4561
MEM 173.707031 1448928325.5613
MEM 178.031250 1448928325.6622
MEM 184.425781 1448928325.7661
MEM 195.480469 1448928325.8712
MEM 205.941406 1448928325.9723
MEM 214.839844 1448928326.0755
MEM 216.378906 1448928326.1799
MEM 222.332031 1448928326.2850
MEM 228.976562 1448928326.3901
MEM 243.800781 1448928326.4946
MEM 243.800781 1448928326.5998
MEM 255.429688 1448928326.7050
MEM 258.011719 1448928326.8080
MEM 259.878906 1448928326.9131
MEM 260.460938 1448928327.0172
MEM 261.597656 1448928327.1177
MEM 264.695312 1448928327.2183
MEM 264.875000 1448928327.3215
MEM 267.101562 1448928327.4251
MEM 268.109375 1448928327.5292
MEM 268.109375 1448928327.6313
MEM 268.109375 1448928327.7339
MEM 179.585938 1448928327.8391
MEM 179.585938 1448928327.9393
MEM 180.785156 1448928328.0421
MEM 180.785156 1448928328.1461
MEM 172.339844 1448928328.2512
MEM 172.339844 1448928328.3560
MEM 172.339844 1448928328.4612
MEM 172.339844 1448928328.5658
MEM 172.089844 1448928328.6709
MEM 172.089844 1448928328.7753
MEM 172.539062 1448928328.8797
MEM 172.289062 1448928328.9821
MEM 166.472656 1448928329.0865
MEM 166.472656 1448928329.1905
MEM 166.472656 1448928329.2949
MEM 140.800781 1448928329.4001
MEM 138.460938 1448928329.5040
MEM 139.085938 1448928329.6065
MEM 139.085938 1448928329.7106
MEM 121.238281 1448928329.8157
MEM 121.238281 1448928329.9209
MEM 121.238281 1448928330.0243
MEM 121.492188 1448928330.1278
MEM 120.511719 1448928330.2303
MEM 120.707031 1448928330.3309
MEM 120.707031 1448928330.4339
MEM 112.964844 1448928330.5382
MEM 133.496094 1448928330.6433
MEM 133.496094 1448928330.7450
MEM 133.496094 1448928330.8493
MEM 133.496094 1448928330.9527
MEM 135.070312 1448928331.0566
MEM 146.273438 1448928331.1586
MEM 158.417969 1448928331.2620
MEM 162.472656 1448928331.3649
MEM 170.230469 1448928331.4690
MEM 182.457031 1448928331.5729
MEM 193.933594 1448928331.6751
MEM 200.652344 1448928331.7782
MEM 207.734375 1448928331.8830
MEM 220.046875 1448928331.9881
MEM 232.214844 1448928332.0930
MEM 239.660156 1448928332.1982
MEM 240.886719 1448928332.3033
MEM 249.878906 1448928332.4085
MEM 258.398438 1448928332.5090
MEM 259.148438 1448928332.6103
MEM 268.015625 1448928332.7134
MEM 272.562500 1448928332.8171
MEM 274.703125 1448928332.9222
MEM 275.535156 1448928333.0248
MEM 276.652344 1448928333.1292
MEM 279.710938 1448928333.2344
MEM 281.054688 1448928333.3360
MEM 281.054688 1448928333.4374
MEM 281.054688 1448928333.5408
MEM 281.320312 1448928333.6433
MEM 281.648438 1448928333.7476
MEM 253.292969 1448928333.8516
MEM 144.671875 1448928333.9561
MEM 140.546875 1448928334.0577
MEM 141.015625 1448928334.1619
MEM 132.851562 1448928334.2671
MEM 132.230469 1448928334.3686
MEM 132.230469 1448928334.4719
MEM 133.105469 1448928334.5752
MEM 121.941406 1448928334.6795
MEM 121.105469 1448928334.7842
MEM 121.105469 1448928334.8866
MEM 120.824219 1448928334.9888
MEM 119.824219 1448928335.0932
MEM 119.343750 1448928335.1976
MEM 119.343750 1448928335.3009
MEM 113.101562 1448928335.4044
MEM 113.101562 1448928335.5069
MEM 113.101562 1448928335.6103
MEM 113.101562 1448928335.7153
MEM 113.250000 1448928335.8189
MEM 113.386719 1448928335.9227
MEM 114.769531 1448928336.0274
MEM 114.769531 1448928336.1309
MEM 114.769531 1448928336.2348
MEM 114.011719 1448928336.3386
MEM 112.507812 1448928336.4419
MEM 115.742188 1448928336.5462
MEM 115.742188 1448928336.6501
MEM 117.167969 1448928336.7542
MEM 118.742188 1448928336.8583
MEM 127.847656 1448928336.9628
MEM 133.308594 1448928337.0651
MEM 134.066406 1448928337.1695
MEM 133.562500 1448928337.2738
MEM 133.562500 1448928337.3772
MEM 134.261719 1448928337.4788
MEM 134.261719 1448928337.5804
MEM 134.296875 1448928337.6856
MEM 134.296875 1448928337.7886
MEM 134.011719 1448928337.8929
MEM 121.488281 1448928337.9967
MEM 125.285156 1448928338.1006
MEM 125.523438 1448928338.2047
MEM 125.523438 1448928338.3090
MEM 125.523438 1448928338.4123
MEM 125.789062 1448928338.5162
