CMDLINE python just_load.py
MEM 0.023438 1448928308.2650
MEM 14.250000 1448928308.3682
MEM 21.343750 1448928308.4701
MEM 36.351562 1448928308.5719
MEM 44.785156 1448928308.6759
MEM 51.539062 1448928308.7764
MEM 58.410156 1448928308.8811
MEM 62.769531 1448928308.9838
MEM 66.835938 1448928309.0853
MEM 66.968750 1448928309.1889
MEM 68.777344 1448928309.2907
MEM 73.812500 1448928309.3958
MEM 84.093750 1448928309.4967
MEM 87.820312 1448928309.5992
MEM 89.843750 1448928309.6994
MEM 89.632812 1448928309.8023
MEM 89.632812 1448928309.9037
MEM 89.890625 1448928310.0087
MEM 84.082031 1448928310.1117
MEM 84.019531 1448928310.2140
MEM 86.773438 1448928310.3191
MEM 87.062500 1448928310.4224
MEM 88.117188 1448928310.5267
MEM 95.269531 1448928310.6307
MEM 101.351562 1448928310.7348
MEM 102.218750 1448928310.8399
MEM 102.257812 1448928310.9433
MEM 102.261719 1448928311.0467
MEM 102.398438 1448928311.1502
MEM 102.453125 1448928311.2511
MEM 92.347656 1448928311.3515
MEM 92.347656 1448928311.4545
MEM 92.347656 1448928311.5589
MEM 92.347656 1448928311.6622
MEM 92.097656 1448928311.7660
MEM 92.097656 1448928311.8677
MEM 92.261719 1448928311.9687
MEM 92.261719 1448928312.0719
MEM 90.011719 1448928312.1771
MEM 89.761719 1448928312.2807
MEM 89.761719 1448928312.3832
MEM 91.386719 1448928312.4883
MEM 89.886719 1448928312.5918
MEM 88.390625 1448928312.6919
MEM 88.390625 1448928312.7930
MEM 87.742188 1448928312.8937
MEM 87.242188 1448928312.9980
MEM 87.242188 1448928313.1017
MEM 87.242188 1448928313.2050
MEM 88.425781 1448928313.3092
MEM 88.425781 1448928313.4129
MEM 91.945312 1448928313.5179
MEM 91.945312 1448928313.6219
MEM 91.945312 1448928313.7221
MEM 96.132812 1448928313.8243
MEM 100.238281 1448928313.9283
MEM 100.113281 1448928314.0326
MEM 100.304688 1448928314.1351
MEM 100.433594 1448928314.2394
MEM 100.433594 1448928314.3438
MEM 100.683594 1448928314.4472
MEM 94.953125 1448928314.5514
MEM 94.953125 1448928314.6541
MEM 96.199219 1448928314.7580
MEM 96.199219 1448928314.8628
MEM 96.199219 1448928314.9672
MEM 95.515625 1448928315.0713
MEM 95.515625 1448928315.1762
MEM 95.527344 1448928315.2813
MEM 96.789062 1448928315.3865
MEM 96.789062 1448928315.4916
MEM 97.601562 1448928315.5946
MEM 98.082031 1448928315.6971
MEM 98.082031 1448928315.8022
MEM 98.082031 1448928315.9074
MEM 96.808594 1448928316.0107
MEM 96.808594 1448928316.1113
MEM 96.957031 1448928316.2147
MEM 96.265625 1448928316.3198
MEM 96.265625 1448928316.4228
MEM 96.765625 1448928316.5278
MEM 96.769531 1448928316.6315
MEM 96.769531 1448928316.7363
MEM 96.992188 1448928316.8414
MEM 96.992188 1448928316.9441
MEM 96.492188 1448928317.0485
MEM 96.492188 1448928317.1535
MEM 96.457031 1448928317.2574
MEM 96.457031 1448928317.3590
MEM 96.457031 1448928317.4613
MEM 97.523438 1448928317.5652
MEM 99.187500 1448928317.6701
MEM 99.187500 1448928317.7707
MEM 99.222656 1448928317.8724
MEM 99.222656 1448928317.9776
MEM 94.914062 1448928318.0812
MEM 95.921875 1448928318.1863
MEM 96.128906 1448928318.2915
MEM 96.539062 1448928318.3966
MEM 100.660156 1448928318.5018
MEM 102.550781 1448928318.6053
MEM 118.570312 1448928318.7091
MEM 118.570312 1448928318.8125
MEM 118.570312 1448928318.9167
MEM 120.929688 1448928319.0196
MEM 133.175781 1448928319.1232
MEM 142.570312 1448928319.2265
MEM 150.722656 1448928319.3300
MEM 157.257812 1448928319.4334
MEM 169.367188 1448928319.5358
MEM 181.917969 1448928319.6409
MEM 190.277344 1448928319.7427
MEM 194.191406 1448928319.8452
MEM 207.796875 1448928319.9502
MEM 216.500000 1448928320.0536
MEM 222.117188 1448928320.1558
MEM 226.312500 1448928320.2601
MEM 238.664062 1448928320.3644
MEM 238.902344 1448928320.4683
MEM 241.886719 1448928320.5726
MEM 243.777344 1448928320.6742
MEM 245.140625 1448928320.7766
MEM 232.191406 1448928320.8809
MEM 232.140625 1448928320.9856
MEM 232.890625 1448928321.0906
MEM 216.007812 1448928321.1918
MEM 214.101562 1448928321.2942
MEM 214.101562 1448928321.3986
MEM 213.523438 1448928321.5029
