CMDLINE python dummy_atom_scheme_mem_debug.py
MEM 0.023438 1448923682.6752
MEM 14.371094 1448923682.7771
MEM 22.468750 1448923682.8779
MEM 30.175781 1448923682.9781
MEM 36.761719 1448923683.0782
MEM 44.382812 1448923683.1785
MEM 45.187500 1448923683.2787
MEM 52.238281 1448923683.3838
MEM 61.324219 1448923683.4883
MEM 63.996094 1448923683.5916
MEM 66.554688 1448923683.6967
MEM 73.292969 1448923683.8001
MEM 77.589844 1448923683.9053
MEM 88.843750 1448923684.0061
MEM 99.742188 1448923684.1107
MEM 103.335938 1448923684.2127
MEM 87.058594 1448923684.3179
MEM 87.542969 1448923684.4210
MEM 88.183594 1448923684.5230
MEM 88.183594 1448923684.6233
MEM 88.812500 1448923684.7281
MEM 89.351562 1448923684.8319
MEM 92.828125 1448923684.9355
MEM 100.187500 1448923685.0396
MEM 100.187500 1448923685.1440
MEM 100.187500 1448923685.2481
MEM 104.789062 1448923685.3517
MEM 111.039062 1448923685.4545
MEM 115.871094 1448923685.5585
MEM 124.019531 1448923685.6636
MEM 128.488281 1448923685.7653
MEM 129.687500 1448923685.8701
MEM 129.269531 1448923685.9726
MEM 95.578125 1448923686.0740
MEM 95.578125 1448923686.1766
MEM 95.578125 1448923686.2780
MEM 95.152344 1448923686.3783
MEM 96.316406 1448923686.4823
MEM 96.316406 1448923686.5875
MEM 95.941406 1448923686.6926
MEM 95.949219 1448923686.7942
MEM 95.949219 1448923686.8992
MEM 95.992188 1448923687.0035
MEM 95.992188 1448923687.1076
MEM 97.761719 1448923687.2096
MEM 119.644531 1448923687.3129
MEM 119.644531 1448923687.4168
MEM 119.644531 1448923687.5200
MEM 124.421875 1448923687.6225
MEM 136.808594 1448923687.7263
MEM 142.515625 1448923687.8315
MEM 151.574219 1448923687.9346
MEM 163.824219 1448923688.0397
MEM 173.546875 1448923688.1402
MEM 181.144531 1448923688.2447
MEM 187.171875 1448923688.3498
MEM 199.519531 1448923688.4520
MEM 212.316406 1448923688.5568
MEM 220.507812 1448923688.6600
MEM 220.507812 1448923688.7652
MEM 232.000000 1448923688.8704
MEM 244.769531 1448923688.9746
MEM 257.300781 1448923689.0786
MEM 260.859375 1448923689.1838
MEM 263.449219 1448923689.2889
MEM 274.390625 1448923689.3919
MEM 281.312500 1448923689.4971
MEM 291.023438 1448923689.6017
MEM 293.375000 1448923689.7069
MEM 293.375000 1448923689.8114
MEM 304.929688 1448923689.9166
MEM 314.953125 1448923690.0179
MEM 318.449219 1448923690.1230
MEM 318.792969 1448923690.2266
MEM 318.792969 1448923690.3318
MEM 321.976562 1448923690.4370
MEM 323.292969 1448923690.5404
MEM 327.234375 1448923690.6413
MEM 327.285156 1448923690.7465
MEM 327.652344 1448923690.8516
MEM 327.652344 1448923690.9550
MEM 327.652344 1448923691.0589
MEM 324.359375 1448923691.1641
MEM 324.675781 1448923691.2687
MEM 325.265625 1448923691.3738
MEM 325.789062 1448923691.4767
MEM 225.500000 1448923691.5818
MEM 198.000000 1448923691.6856
MEM 198.000000 1448923691.7905
MEM 198.179688 1448923691.8956
MEM 198.257812 1448923691.9997
MEM 202.300781 1448923692.1049
MEM 203.046875 1448923692.2100
MEM 203.296875 1448923692.3138
MEM 181.718750 1448923692.4190
MEM 181.343750 1448923692.5214
MEM 182.183594 1448923692.6225
MEM 181.683594 1448923692.7266
MEM 185.046875 1448923692.8310
MEM 171.351562 1448923692.9361
MEM 171.351562 1448923693.0410
MEM 171.492188 1448923693.1415
MEM 171.789062 1448923693.2457
MEM 172.105469 1448923693.3473
MEM 173.070312 1448923693.4524
MEM 174.089844 1448923693.5575
MEM 175.343750 1448923693.6618
MEM 174.843750 1448923693.7645
MEM 126.437500 1448923693.8697
MEM 127.722656 1448923693.9722
MEM 127.769531 1448923694.0774
MEM 127.769531 1448923694.1825
MEM 127.269531 1448923694.2873
MEM 127.449219 1448923694.3893
MEM 127.601562 1448923694.4909
MEM 126.351562 1448923694.5940
MEM 126.351562 1448923694.6991
MEM 126.351562 1448923694.8041
MEM 125.726562 1448923694.9088
MEM 119.261719 1448923695.0111
MEM 117.421875 1448923695.1162
MEM 116.796875 1448923695.2204
MEM 117.210938 1448923695.3256
MEM 115.710938 1448923695.4306
MEM 115.710938 1448923695.5338
MEM 119.226562 1448923695.6385
MEM 119.226562 1448923695.7399
MEM 118.976562 1448923695.8450
MEM 120.796875 1448923695.9502
MEM 122.449219 1448923696.0525
MEM 122.652344 1448923696.1538
MEM 122.828125 1448923696.2584
MEM 123.046875 1448923696.3601
MEM 123.300781 1448923696.4618
MEM 122.800781 1448923696.5645
MEM 114.636719 1448923696.6697
MEM 114.609375 1448923696.7740
MEM 114.359375 1448923696.8789
MEM 118.382812 1448923696.9841
MEM 118.382812 1448923697.0892
MEM 118.382812 1448923697.1894
MEM 118.382812 1448923697.2946
